"time","singleChiller.singleChiller.chillerWithHex2_1.chi.P","supplyTemp","returnTemp"
4115,636394.1921119075,291.5587421580017,291.5579513170875
4120,636394.2456681679,291.5587412746776,291.5579570030641
4125,636394.299224433,291.5587403913534,291.5579626890406
4130,636394.3527807015,291.5587395080293,291.5579683750171
4135,636394.406336965,291.5587386247052,291.5579740609936
4140,636394.459893233,291.558737741381,291.5579797469701
4145,636394.5134495047,291.5587368580569,291.5579854329467
4150,636394.5670057713,291.5587359747328,291.5579911189232
4155,636394.6205620422,291.5587350914087,291.5579968048997
4160,636394.6741183173,291.5587342080846,291.5580024908763
4165,636394.727674587,291.5587333247605,291.5580081768528
4170,636394.781230861,291.5587324414363,291.5580138628293
4175,636394.8347871389,291.5587315581122,291.5580195488058
4180,636394.8883434117,291.5587306747881,291.5580252347823
4185,636394.9418996914,291.5587297914639,291.5580309207589
4190,636394.9954559698,291.5587289081398,291.5580366067354
4195,636395.0490122457,291.5587280248157,291.5580422927119
4200,636395.1025685286,291.5587271414915,291.5580479786884
4205,636395.1561248102,291.5587262581674,291.558053664665
4210,636395.2096810892,291.5587253748433,291.5580593506415
4215,636395.263237375,291.5587244915192,291.558065036618
4220,636395.3167936594,291.5587236081951,291.5580707225946
4225,636395.3703499449,291.558722724871,291.5580764085711
4230,636395.4239062307,291.5587218415468,291.5580820945476
4235,636395.4774625185,291.5587209582227,291.5580877805241
4240,636395.5310188066,291.5587200748986,291.5580934665006
4245,636395.5845750954,291.5587191915744,291.5580991524772
4250,636395.6381313861,291.5587183082503,291.5581048384537
4255,636395.6916876778,291.5587174249262,291.5581105244302
4260,636395.7452439698,291.5587165416021,291.5581162104068
4265,636395.7988002632,291.5587156582779,291.5581218963833
4270,636395.8523565582,291.5587147749538,291.5581275823598
4275,636395.9059128532,291.5587138916297,291.5581332683363
4280,636395.9594691499,291.5587130083056,291.5581389543128
4285,636396.0130254504,291.5587121249815,291.5581446402894
4290,636396.0665817454,291.5587112416573,291.5581503262659
4295,636396.1201380455,291.5587103583332,291.5581560122424
4300,636396.173694349,291.5587094750091,291.558161698219
4305,636396.2272506475,291.5587085916849,291.5581673841955
4310,636396.2808069504,291.5587077083608,291.558173070172
4315,636396.3343632568,291.5587068250367,291.5581787561485
