"time","singleChiller.singleChiller.mov.P","singleChiller.singleChiller.chillerWithHex2_1.chi.P","singleChiller.singleChiller.mov1.P","supplyTemp","returnTemp","storageTankWithPump.mov.P","total_power","total_energy"
5715,63366.98970562564,76549.13467285984,63467.62333495947,293.0265871332093,298.0223985621543,-5.661244872272432e-158,203383.747713445,1259748338.256781
5720,63366.98970562564,76549.13383485556,63467.62333495947,293.0265871332073,298.0223987812416,-5.627009795506737e-158,203383.7468754407,1260765256.993253
5725,63366.98970562564,76549.13299685255,63467.62333495947,293.0265871332053,298.022399000329,-5.592913016874534e-158,203383.7460374377,1261782175.725535
5730,63366.98970562564,76549.13215884868,63467.62333495947,293.0265871332033,298.0223992194163,-5.558954256471236e-158,203383.7451994338,1262799094.453628
5735,63366.98970562564,76549.1313208444,63467.62333495947,293.0265871332014,298.0223994385036,-5.525133234392256e-158,203383.7443614295,1263816013.17753
5740,63366.98970562564,76549.13048284021,63467.62333495947,293.0265871331994,298.0223996575909,-5.491449670733004e-158,203383.7435234253,1264832931.897242
5745,63366.98970562564,76549.12964483678,63467.62333495947,293.0265871331974,298.0223998766783,-5.457903285588892e-158,203383.7426854219,1265849850.612764
5750,63366.98970562564,76549.12880683335,63467.62333495947,293.0265871331954,298.0224000957656,-5.424493799055333e-158,203383.7418474185,1266866769.324096
5755,63366.98970562564,76549.12796882997,63467.62333495947,293.0265871331935,298.0224003148529,-5.391220931227737e-158,203383.7410094151,1267883688.031238
5760,63366.98970562564,76549.12713082654,63467.62333495947,293.0265871331915,298.0224005339402,-5.358084402201518e-158,203383.7401714117,1268900606.73419
5765,63366.98970562564,76549.12629282191,63467.62333495947,293.0265871331895,298.0224007530276,-5.325083932072087e-158,203383.739333407,1269917525.432952
5770,63366.98970562564,76549.12545481893,63467.62333495947,293.0265871331875,298.0224009721149,-5.292219240934855e-158,203383.738495404,1270934444.127524
5775,63366.98970562564,76549.12461681513,63467.62333495947,293.0265871331856,298.0224011912022,-5.259490048885234e-158,203383.7376574002,1271951362.817906
5780,63366.98970562564,76549.12377881052,63467.62333495947,293.0265871331836,298.0224014102895,-5.226896076018638e-158,203383.7368193956,1272968281.504098
5785,63366.98970562564,76549.12294080749,63467.62333495947,293.0265871331816,298.0224016293769,-5.194437042430475e-158,203383.7359813926,1273985200.1861
5790,63366.98970562564,76549.12210280415,63467.62333495947,293.0265871331796,298.0224018484642,-5.162112668216161e-158,203383.7351433893,1275002118.863912
5795,63366.98970562564,76549.12126480039,63467.62333495947,293.0265871331777,298.0224020675515,-5.129922673471104e-158,203383.7343053855,1276019037.537534
5800,63366.98970562564,76549.12042679572,63467.62333495947,293.0265871331757,298.0224022866389,-5.09786677829072e-158,203383.7334673808,1277035956.206966
5805,63366.98970562564,76549.1195887932,63467.62333495947,293.0265871331737,298.0224025057262,-5.065944702770417e-158,203383.7326293783,1278052874.872208
5810,63366.98970562564,76549.11875078946,63467.62333495947,293.0265871331718,298.0224027248135,-5.034156167005608e-158,203383.7317913746,1279069793.53326
5815,63366.98970562564,76549.11791278484,63467.62333495947,293.0265871331698,298.0224029439008,-5.002500891091706e-158,203383.73095337,1280086712.190122
5820,63366.98970562564,76549.11707478148,63467.62333495947,293.0265871331678,298.0224031629882,-4.97097859512412e-158,203383.7301153666,1281103630.842793
5825,63366.98970562564,76549.11623677814,63467.62333495947,293.0265871331658,298.0224033820755,-4.939588999198269e-158,203383.7292773633,1282120549.491275
5830,63366.98970562564,76549.11539877435,63467.62333495947,293.0265871331639,298.0224036011629,-4.908331823409554e-158,203383.7284393595,1283137468.135567
5835,63366.98970562564,76549.11456077104,63467.62333495947,293.0265871331619,298.0224038202502,-4.877206787853397e-158,203383.7276013561,1284154386.775669
5840,63366.98970562564,76549.11372276688,63467.62333495947,293.0265871331599,298.0224040393375,-4.846213612625202e-158,203383.726763352,1285171305.411581
5845,63366.98970562564,76549.11288476396,63467.62333495947,293.0265871331579,298.0224042584248,-4.815352017820388e-158,203383.7259253491,1286188224.043302
5850,63366.98970562564,76549.11204676024,63467.62333495947,293.026587133156,298.0224044775122,-4.784621723534359e-158,203383.7250873453,1287205142.670834
5855,63366.98970562564,76549.11120875689,63467.62333495947,293.026587133154,298.0224046965995,-4.754022449862535e-158,203383.724249342,1288222061.294176
5860,63366.98970562564,76549.11037075311,63467.62333495947,293.026587133152,298.0224049156868,-4.72355391690032e-158,203383.7234113382,1289238979.913327
5865,63366.98970562564,76549.10953274902,63467.62333495947,293.0265871331501,298.0224051347741,-4.693215844743131e-158,203383.7225733341,1290255898.528289
5870,63366.98970562564,76549.10869474533,63467.62333495947,293.0265871331481,298.0224053538615,-4.663007953486379e-158,203383.7217353304,1291272817.139061
5875,63366.98970562564,76549.10785674238,63467.62333495947,293.0265871331461,298.0224055729488,-4.632929963225476e-158,203383.7208973275,1292289735.745642
5880,63366.98970562564,76549.10701873701,63467.62333495947,293.0265871331441,298.0224057920361,-4.602981594055832e-158,203383.7200593221,1293306654.348034
5885,63366.98970562564,76549.10618073455,63467.62333495947,293.0265871331422,298.0224060111235,-4.573162566072861e-158,203383.7192213197,1294323572.946236
5890,63366.98970562564,76549.10534273087,63467.62333495947,293.0265871331402,298.0224062302108,-4.543472599371975e-158,203383.718383316,1295340491.540247
5895,63366.98970562564,76549.10450472799,63467.62333495947,293.0265871331382,298.0224064492981,-4.513911414048581e-158,203383.7175453131,1296357410.130069
5900,63366.98970562564,76549.10366672426,63467.62333495947,293.0265871331363,298.0224066683854,-4.4844787301981e-158,203383.7167073094,1297374328.7157
5905,63366.98970562564,76549.10282872015,63467.62333495947,293.0265871331343,298.0224068874728,-4.455174267915932e-158,203383.7158693052,1298391247.297142
